id_student,code_module,code_presentation,total_clicks,promedio_clicks,interacciones,max_click_dia
35544,FFF,2013B,2107,3.8378870673952643,549,80
35747,FFF,2014J,653,3.710227272727273,176,39
35796,FFF,2014J,602,3.1030927835051547,194,44
35812,BBB,2013B,19,1.7272727272727273,11,6
35860,FFF,2013B,2215,4.474747474747475,495,75
36347,FFF,2014B,2161,4.437371663244353,487,94
36385,FFF,2013B,1355,4.442622950819672,305,89
37298,FFF,2013B,2097,3.7783783783783784,555,171
37622,BBB,2013J,470,2.611111111111111,180,18
37652,CCC,2014J,885,3.702928870292887,239,85
38053,AAA,2013J,2445,3.3817427385892116,723,22
38234,BBB,2013J,94,2.292682926829268,41,19
38711,BBB,2014J,169,2.725806451612903,62,49
39208,BBB,2014J,2067,2.952857142857143,700,37
39411,DDD,2013J,164,2.8275862068965516,58,12
39427,DDD,2013J,93,1.690909090909091,55,5
39655,BBB,2013B,432,2.4269662921348316,178,15
39660,DDD,2014B,630,2.2419928825622777,281,14
39882,FFF,2014B,1761,4.696,375,91
40184,DDD,2013J,1876,2.345,800,24
40333,CCC,2014B,174,2.4166666666666665,72,11
40419,DDD,2013B,144,2.4,60,15
40419,DDD,2013J,560,2.8,200,25
40508,EEE,2013J,91,3.1379310344827585,29,18
40563,DDD,2013J,584,1.9796610169491526,295,18
40604,CCC,2014B,465,2.3604060913705585,197,59
40857,FFF,2014J,304,2.3384615384615386,130,17
40878,FFF,2014J,2455,3.9533011272141705,621,102
41060,DDD,2013B,411,1.9205607476635513,214,8
41414,GGG,2014B,965,3.316151202749141,291,30
41489,FFF,2014B,53,1.8928571428571428,28,9
41547,BBB,2014J,1007,3.873076923076923,260,50
42552,FFF,2014J,5079,4.36340206185567,1164,92
42616,FFF,2013J,4093,3.5966608084358525,1138,69
42638,CCC,2014B,5659,3.189966178128523,1774,72
42638,EEE,2013J,6186,4.225409836065574,1464,134
42668,FFF,2013B,2839,3.915862068965517,725,73
42746,CCC,2014J,2403,3.570579494799406,673,56
42746,FFF,2014B,8270,4.124688279301745,2005,66
42818,DDD,2013J,200,2.150537634408602,93,9
43273,FFF,2013B,1862,4.786632390745501,389,94
43284,DDD,2013B,847,2.0071090047393363,422,31
43430,FFF,2013B,5693,4.45113369820172,1279,82
43564,EEE,2013J,2334,3.870646766169154,603,79
43958,FFF,2013J,2220,3.552,625,57
43958,FFF,2014J,1098,3.0670391061452515,358,76
45423,FFF,2014J,4383,5.555133079847908,789,96
45462,AAA,2013J,1492,4.20281690140845,355,48
45642,AAA,2013J,1428,2.689265536723164,531,46
45664,CCC,2014B,397,3.176,125,61
45664,DDD,2013B,1048,2.5876543209876544,405,32
46016,DDD,2014J,389,1.8436018957345972,211,14
46048,EEE,2014J,12,4.0,3,7
46148,FFF,2014B,3724,4.497584541062802,828,72
46605,CCC,2014B,3427,3.3796844181459567,1014,63
46705,CCC,2014J,1149,2.7357142857142858,420,72
46753,DDD,2014B,1779,3.3128491620111733,537,52
46812,DDD,2014J,141,3.0,47,27
46844,AAA,2014J,340,2.0238095238095237,168,18
47061,EEE,2014J,347,3.4019607843137254,102,16
47063,DDD,2013J,137,1.7125,80,7
47855,BBB,2013J,12,1.5,8,3
47861,FFF,2014J,8757,5.209399167162403,1681,224
47891,BBB,2014J,118,2.1454545454545455,55,14
47924,FFF,2013J,34,2.6153846153846154,13,4
48040,BBB,2013J,1829,2.200962695547533,831,28
48152,DDD,2013J,528,2.966292134831461,178,24
48503,BBB,2013J,434,2.5833333333333335,168,25
48635,CCC,2014J,592,5.016949152542373,118,94
48635,FFF,2014B,4406,4.500510725229827,979,148
49119,CCC,2014B,2014,3.103235747303544,649,47
49119,DDD,2014B,254,1.5393939393939393,165,8
49123,GGG,2014B,1362,4.934782608695652,276,52
49670,FFF,2013J,33,6.6,5,24
50069,BBB,2014B,531,2.54066985645933,209,19
50263,CCC,2014B,425,3.0141843971631204,141,41
50263,FFF,2013B,5863,4.898078529657477,1197,115
50476,DDD,2014B,568,2.4588744588744587,231,20
50487,FFF,2013J,5021,5.076845298281092,989,346
50610,DDD,2013J,13,1.1818181818181819,11,3
50993,BBB,2013B,176,2.1728395061728394,81,7
51030,DDD,2014B,804,2.0150375939849625,399,18
51033,DDD,2014J,913,2.084474885844749,438,35
51153,DDD,2014J,1179,2.524625267665953,467,30
51163,DDD,2013J,1167,2.509677419354839,465,34
51301,BBB,2013J,670,2.576923076923077,260,20
51485,FFF,2013J,2750,4.135338345864661,665,68
51576,CCC,2014B,371,3.435185185185185,108,19
51576,CCC,2014J,428,5.283950617283951,81,30
51576,FFF,2013J,5302,6.513513513513513,814,141
51955,DDD,2014J,405,1.426056338028169,284,8
52014,DDD,2013B,349,3.0086206896551726,116,48
52130,AAA,2013J,1894,3.193929173693086,593,34
52275,FFF,2014J,91,3.3703703703703702,27,19
52426,BBB,2014B,68,2.193548387096774,31,9
52702,GGG,2014J,323,3.4,95,35
52765,AAA,2014J,4938,3.8043143297380584,1298,36
52797,BBB,2013J,1117,3.2852941176470587,340,34
52899,BBB,2013B,928,5.333333333333333,174,85
52899,BBB,2013J,1540,3.037475345167653,507,23
53025,AAA,2013J,3158,3.493362831858407,904,38
53136,FFF,2014B,3493,4.2033694344163655,831,59
53166,FFF,2013J,2861,5.826883910386965,491,72
53197,FFF,2013B,60,2.727272727272727,22,17
53236,BBB,2014J,43,3.3076923076923075,13,25
53300,CCC,2014J,1957,2.9252615844544096,669,110
53360,BBB,2013J,22,2.0,11,6
53488,DDD,2013B,1426,2.372712146422629,601,63
53626,FFF,2013J,39,2.7857142857142856,14,11
53632,DDD,2014B,510,2.1794871794871793,234,20
53632,DDD,2014J,73,2.0277777777777777,36,9
53709,FFF,2013B,1735,4.460154241645244,389,80
53709,FFF,2014B,1175,6.056701030927835,194,136
53895,DDD,2013B,65,3.25,20,12
54062,CCC,2014J,147,2.94,50,28
54062,EEE,2013J,1477,4.26878612716763,346,73
54388,BBB,2013J,42,6.0,7,24
54391,CCC,2014B,179,3.58,50,45
54810,DDD,2014B,260,2.549019607843137,102,16
54810,DDD,2014J,441,2.345744680851064,188,22
54867,FFF,2014B,604,3.6167664670658684,167,38
54882,FFF,2013J,498,2.9642857142857144,168,38
55013,FFF,2013J,604,2.99009900990099,202,25
55026,BBB,2013J,283,2.3388429752066116,121,17
55104,AAA,2014J,1480,2.8136882129277567,526,27
55242,DDD,2013B,13,1.4444444444444444,9,3
55419,FFF,2013J,275,3.3536585365853657,82,68
55450,FFF,2013B,1195,3.7460815047021945,319,45
55968,BBB,2014B,578,2.979381443298969,194,20
56340,BBB,2013J,4,2.0,2,3
56637,FFF,2014J,5440,4.108761329305136,1324,73
56667,FFF,2014J,853,5.298136645962733,161,101
56789,BBB,2013J,379,2.5099337748344372,151,18
57079,BBB,2013J,776,2.2427745664739884,346,28
57227,DDD,2013J,1425,2.3514851485148514,606,20
57285,BBB,2014J,283,4.161764705882353,68,28
57340,CCC,2014B,1090,3.3850931677018634,322,68
57359,DDD,2013B,217,2.411111111111111,90,25
57506,AAA,2013J,1319,3.272952853598015,403,34
57818,DDD,2013J,3037,3.015888778550149,1007,61
57844,FFF,2013J,1972,4.64,425,96
58071,AAA,2014J,3648,4.61188369152971,791,62
58077,FFF,2013J,37,1.7619047619047619,21,6
58089,BBB,2013B,102,2.217391304347826,46,12
58316,AAA,2014J,1295,3.0760095011876483,421,25
58549,FFF,2013B,2481,4.219387755102041,588,60
58617,DDD,2014B,834,3.1954022988505746,261,52
58640,FFF,2013J,1784,2.8006279434850865,637,79
58653,BBB,2014J,383,2.7753623188405796,138,27
58731,DDD,2014J,177,1.5258620689655173,116,7
58873,AAA,2013J,1732,3.2927756653992395,526,34
58884,FFF,2014J,5248,3.972747918243755,1321,67
59185,AAA,2013J,1102,3.1942028985507247,345,28
59272,BBB,2014J,1425,3.7598944591029024,379,54
59275,DDD,2013J,522,3.4342105263157894,152,23
59370,DDD,2013J,2057,2.802452316076294,734,24
59541,CCC,2014B,441,5.444444444444445,81,151
59725,BBB,2014B,859,3.0140350877192983,285,23
60135,DDD,2013B,2750,3.0864197530864197,891,63
60162,GGG,2014J,764,4.042328042328043,189,36
60405,GGG,2013J,852,3.908256880733945,218,45
60416,BBB,2014B,4983,4.983,1000,47
60519,FFF,2013B,3198,4.079081632653061,784,113
60809,CCC,2014J,2519,4.7889733840304185,526,386
60809,EEE,2014J,2422,3.692073170731707,656,59
60830,BBB,2014B,1365,3.3870967741935485,403,27
61227,CCC,2014J,4642,4.493707647628267,1033,114
61236,CCC,2014J,506,3.0481927710843375,166,38
61297,FFF,2014J,94,3.032258064516129,31,19
61352,BBB,2014J,181,2.4794520547945207,73,13
61911,DDD,2014B,448,3.0684931506849313,146,24
62034,EEE,2014J,1889,2.714080459770115,696,77
62155,AAA,2013J,3388,3.45361875637105,981,29
62278,CCC,2014B,1037,2.504830917874396,414,77
62487,AAA,2014J,683,2.501831501831502,273,22
62631,BBB,2013B,525,3.30188679245283,159,20
62975,GGG,2013J,274,2.946236559139785,93,19
63015,DDD,2014J,694,2.059347181008902,337,19
63044,BBB,2013J,231,2.431578947368421,95,20
63112,EEE,2013J,3018,5.106598984771574,591,68
63112,FFF,2014J,501,3.13125,160,29
63165,AAA,2014J,912,2.6666666666666665,342,23
63295,FFF,2013J,1210,4.979423868312757,243,98
63371,CCC,2014J,3344,3.966785290628707,843,69
63400,AAA,2013J,2737,3.6013157894736842,760,42
63467,BBB,2014J,712,4.593548387096774,155,73
63566,DDD,2013J,1232,2.392233009708738,515,30
63721,BBB,2014B,771,2.0725806451612905,372,18
63827,DDD,2014J,108,1.4025974025974026,77,5
63856,DDD,2013J,965,2.2652582159624415,426,23
63949,GGG,2014J,432,3.4015748031496065,127,18
63958,FFF,2014B,110,2.037037037037037,54,8
64275,BBB,2014B,199,2.518987341772152,79,12
64296,CCC,2014B,633,4.3061224489795915,147,47
64296,EEE,2014B,606,4.423357664233577,137,49
64388,FFF,2013J,4596,4.049339207048458,1135,216
64427,FFF,2014J,5640,5.386819484240688,1047,93
64450,DDD,2014B,3327,3.401840490797546,978,68
64767,DDD,2014B,206,2.7837837837837838,74,30
64901,GGG,2014B,827,3.2817460317460316,252,47
65002,AAA,2013J,171,3.1666666666666665,54,14
65002,AAA,2014J,5,2.5,2,3
65656,FFF,2013B,1776,4.933333333333334,360,130
66047,DDD,2013J,52,1.793103448275862,29,5
66254,CCC,2014B,2149,3.384251968503937,635,55
66451,FFF,2013J,1161,3.9489795918367347,294,97
66577,DDD,2013J,143,1.9066666666666667,75,5
66579,DDD,2013B,681,2.779591836734694,245,21
66713,EEE,2013J,1850,4.7927461139896375,386,68
66892,FFF,2014J,329,2.611111111111111,126,24
67182,GGG,2013J,354,2.107142857142857,168,13
67471,DDD,2013J,1113,2.3530655391120505,473,24
67505,DDD,2013J,1246,2.4673267326732673,505,29
67539,EEE,2014J,1438,3.804232804232804,378,84
67602,DDD,2013B,797,2.054123711340206,388,19
67685,CCC,2014J,10,1.1111111111111112,9,2
67685,EEE,2014J,2304,2.9127686472819216,791,60
67781,DDD,2014B,1771,2.167686658506732,817,24
67785,DDD,2013B,1351,2.691235059760956,502,31
67986,FFF,2014B,660,3.0985915492957745,213,57
68011,DDD,2013J,360,2.1951219512195124,164,15
68107,FFF,2013J,4255,4.147173489278752,1026,59
68208,FFF,2013B,7467,3.952885124404447,1889,70
68376,DDD,2013J,1085,2.0588235294117645,527,16
68417,DDD,2014J,1270,2.8863636363636362,440,21
68556,BBB,2013J,98,1.849056603773585,53,8
69346,FFF,2013J,1458,5.7176470588235295,255,70
69439,FFF,2014J,293,2.7641509433962264,106,75
69489,DDD,2013J,106,2.5238095238095237,42,10
69489,DDD,2014B,109,1.9464285714285714,56,10
69491,DDD,2013B,373,2.1193181818181817,176,20
69494,CCC,2014B,601,2.9174757281553396,206,25
69494,CCC,2014J,1448,3.800524934383202,381,67
69703,CCC,2014B,695,2.757936507936508,252,69
70011,AAA,2014J,6396,3.4931731294374657,1831,34
70214,CCC,2014J,369,3.324324324324324,111,69
70214,EEE,2013J,3140,4.422535211267606,710,91
70381,CCC,2014B,755,3.1198347107438016,242,47
70464,AAA,2013J,1053,5.136585365853659,205,34
70495,CCC,2014J,1979,4.0141987829614605,493,77
70495,FFF,2013J,5273,4.286991869918699,1230,83
70537,EEE,2014B,2434,4.30035335689046,566,70
70569,BBB,2014J,947,3.788,250,37
70608,BBB,2013B,270,2.25,120,17
70750,BBB,2014J,103,1.7457627118644068,59,10
70771,CCC,2014B,181,4.022222222222222,45,36
70827,EEE,2014J,269,3.3625,80,43
71159,FFF,2014J,5236,4.981921979067555,1051,124
71209,DDD,2013J,483,1.8226415094339623,265,13
71252,FFF,2013J,1194,3.6402439024390243,328,89
71361,AAA,2013J,2327,3.1964285714285716,728,28
71433,BBB,2013B,60,1.5,40,3
71504,BBB,2014J,1049,3.227692307692308,325,32
71578,FFF,2013B,1572,4.543352601156069,346,117
71676,DDD,2014J,1077,2.095330739299611,514,17
71723,CCC,2014J,486,3.375,144,68
71723,DDD,2014B,251,2.074380165289256,121,12
71897,FFF,2013J,261,2.868131868131868,91,16
72114,FFF,2014B,4300,3.788546255506608,1135,184
72349,BBB,2014J,134,2.4814814814814814,54,12
72400,BBB,2014B,420,1.9090909090909092,220,10
72609,CCC,2014J,6378,3.5043956043956044,1820,175
72693,FFF,2013B,2269,5.192219679633867,437,74
72864,FFF,2013J,1423,4.3121212121212125,330,77
73019,DDD,2014J,540,4.21875,128,24
73489,BBB,2013J,1845,3.1755593803786577,581,36
73584,BBB,2014J,243,2.8255813953488373,86,73
73664,CCC,2014J,38,2.0,19,7
73664,DDD,2014J,103,1.4305555555555556,72,5
73874,BBB,2014J,931,3.831275720164609,243,43
74113,FFF,2013B,583,3.3125,176,58
74165,FFF,2014J,1897,4.463529411764706,425,71
74290,CCC,2014B,224,2.731707317073171,82,27
74290,CCC,2014J,47,1.6206896551724137,29,7
74372,AAA,2013J,116,1.6111111111111112,72,11
74502,DDD,2013J,3630,2.4660326086956523,1472,71
74521,FFF,2014B,1297,4.238562091503268,306,71
74524,FFF,2014B,96,2.0,48,8
74585,BBB,2013J,7811,6.558354324097397,1191,91
74695,BBB,2013B,3679,4.074197120708749,903,47
74734,BBB,2013B,208,1.8571428571428572,112,7
75091,AAA,2013J,2992,3.9681697612732094,754,55
75107,FFF,2014J,5914,3.719496855345912,1590,55
75255,AAA,2014J,950,2.8528528528528527,333,93
75309,DDD,2014B,1,1.0,1,1
75399,BBB,2013B,489,2.0720338983050848,236,15
75427,DDD,2014J,1073,2.876675603217158,373,24
75454,CCC,2014B,4465,5.709718670076726,782,217
75728,CCC,2014B,1868,4.169642857142857,448,171
76081,DDD,2014B,1048,2.3497757847533634,446,24
76081,DDD,2014J,680,1.8478260869565217,368,13
76536,DDD,2013B,18,1.2857142857142858,14,2
76579,EEE,2013J,771,2.976833976833977,259,69
76579,EEE,2014J,1458,4.288235294117647,340,87
76949,CCC,2014J,1482,2.952191235059761,502,55
77241,DDD,2013J,224,2.3092783505154637,97,14
77367,AAA,2013J,680,2.5092250922509227,271,16
77692,FFF,2014J,2568,6.618556701030927,388,80
77744,FFF,2013J,2273,3.8265993265993266,594,65
77746,FFF,2013J,110,3.6666666666666665,30,21
77763,DDD,2013B,1354,2.47985347985348,546,22
77845,FFF,2014B,472,3.3714285714285714,140,69
77995,FFF,2014J,897,4.623711340206185,194,82
77998,FFF,2013B,511,2.241228070175439,228,44
77998,FFF,2014B,794,4.223404255319149,188,79
78170,DDD,2013J,2669,3.085549132947977,865,47
78255,BBB,2013J,191,2.1954022988505746,87,12
78255,BBB,2014B,130,1.625,80,8
78645,BBB,2013B,426,2.108910891089109,202,15
79261,FFF,2013J,2073,4.3097713097713095,481,72
79403,AAA,2014J,1782,5.165217391304348,345,87
79461,CCC,2014B,810,4.5,180,75
79610,FFF,2014J,2482,4.331588132635253,573,98
79683,FFF,2014B,431,3.265151515151515,132,41
80329,CCC,2014B,172,2.9152542372881354,59,50
80329,CCC,2014J,3347,5.468954248366013,612,237
80329,DDD,2013J,453,1.986842105263158,228,19
80329,DDD,2014J,636,1.6736842105263159,380,15
80358,EEE,2014J,1502,2.8940269749518306,519,74
80438,FFF,2014J,5083,6.750332005312085,753,387
80448,GGG,2013J,350,3.0973451327433628,113,13
80491,CCC,2014J,330,2.8947368421052633,114,82
80717,BBB,2013J,3699,3.216521739130435,1150,68
80745,FFF,2013B,1015,3.274193548387097,310,57
80775,DDD,2014J,698,2.0712166172106823,337,14
80868,CCC,2014J,24139,8.174398916356248,2953,255
80868,DDD,2013J,4476,3.7145228215767636,1205,58
80886,FFF,2013B,589,3.9006622516556293,151,64
81216,FFF,2014B,13,1.8571428571428572,7,5
81351,DDD,2013B,817,2.2569060773480665,362,27
81536,FFF,2013J,474,2.7085714285714286,175,56
81754,GGG,2014B,310,2.4031007751937983,129,13
82088,DDD,2013J,1100,2.5,440,18
82201,FFF,2014B,589,3.051813471502591,193,18
82201,FFF,2014J,2,2.0,1,2
82341,GGG,2013J,508,3.5774647887323945,142,125
82535,BBB,2013B,352,2.1204819277108435,166,11
82556,FFF,2013B,1538,7.254716981132075,212,196
82575,CCC,2014B,658,2.8484848484848486,231,67
82741,BBB,2013B,879,2.4553072625698324,358,22
82817,FFF,2013B,1370,4.3354430379746836,316,115
83219,CCC,2014B,1055,3.2763975155279503,322,117
83219,EEE,2014B,2340,4.285714285714286,546,84
83254,BBB,2013B,954,2.332518337408313,409,46
83453,CCC,2014B,382,2.8088235294117645,136,36
83553,DDD,2014J,393,2.519230769230769,156,18
83603,FFF,2014B,2935,3.7724935732647813,778,73
84051,FFF,2013B,210,2.5,84,23
84245,BBB,2013B,657,2.046728971962617,321,14
84299,CCC,2014B,759,3.5971563981042656,211,88
84299,FFF,2014B,1227,3.4273743016759775,358,106
84541,BBB,2014J,179,2.8870967741935485,62,45
84576,DDD,2014B,2126,3.0284900284900287,702,186
84604,FFF,2014J,7698,4.679635258358663,1645,91
84605,DDD,2013J,806,2.8480565371024733,283,26
84605,DDD,2014B,388,3.206611570247934,121,28
84664,BBB,2013B,495,2.8285714285714287,175,21
84812,BBB,2013J,474,2.6187845303867405,181,20
85092,AAA,2014J,665,2.8663793103448274,232,15
85144,AAA,2014J,656,2.1578947368421053,304,23
85241,FFF,2014J,204,2.193548387096774,93,10
85302,AAA,2014J,2280,3.2995658465991315,691,41
85304,DDD,2014B,23,3.8333333333333335,6,12
85325,DDD,2013J,81,1.8409090909090908,44,5
85874,FFF,2014B,1853,4.289351851851852,432,79
86047,CCC,2014B,175,2.9661016949152543,59,27
86047,DDD,2013B,890,2.7639751552795033,322,25
86291,BBB,2013B,69,4.928571428571429,14,17
86291,BBB,2013J,128,2.56,50,24
86538,FFF,2013B,1569,5.486013986013986,286,72
86669,FFF,2013J,2284,4.285178236397749,533,146
87107,DDD,2013B,861,2.3207547169811322,371,17
87152,FFF,2013B,2253,4.4791252485089466,503,72
87264,FFF,2014J,8480,5.077844311377246,1670,143
87322,FFF,2014J,1791,3.893478260869565,460,93
87431,AAA,2014J,802,3.9507389162561575,203,40
87732,BBB,2013B,1018,2.395294117647059,425,14
87929,GGG,2013J,568,3.664516129032258,155,39
88340,BBB,2014B,187,2.2,85,7
88439,DDD,2014J,809,2.151595744680851,376,22
88490,DDD,2014B,953,2.2744630071599046,419,48
88568,EEE,2013J,3582,4.352369380315918,823,57
88758,CCC,2014J,51,1.186046511627907,43,6
88781,FFF,2013J,888,3.041095890410959,292,34
88910,DDD,2014B,576,2.028169014084507,284,14
89051,DDD,2013B,1163,2.4639830508474576,472,26
89092,BBB,2014B,183,1.83,100,14
89188,DDD,2013J,1760,2.573099415204678,684,79
89545,EEE,2014J,595,3.051282051282051,195,76
89727,DDD,2013J,406,2.3068181818181817,176,31
89778,BBB,2014B,141,2.073529411764706,68,20
89850,BBB,2014J,1227,3.1623711340206184,388,84
89895,FFF,2013B,5614,4.10680321872714,1367,64
89904,DDD,2014B,609,1.7964601769911503,339,14
90243,BBB,2013J,1084,3.3769470404984423,321,40
90361,BBB,2014B,183,2.056179775280899,89,12
90537,DDD,2014B,810,1.5976331360946745,507,17
90651,FFF,2014J,195,1.875,104,13
90836,DDD,2013B,205,1.8981481481481481,108,12
90901,FFF,2013J,2315,4.557086614173229,508,83
90979,DDD,2013J,168,1.8461538461538463,91,9
91040,CCC,2014J,446,4.018018018018018,111,71
91164,FFF,2013B,21,2.3333333333333335,9,5
91265,AAA,2013J,1494,3.0120967741935485,496,19
91322,BBB,2013B,1616,4.4032697547683926,367,39
91354,DDD,2013J,103,1.7166666666666666,60,6
91470,DDD,2014J,1521,2.3765625,640,49
91629,FFF,2013J,1657,5.26031746031746,315,163
91801,FFF,2014J,1354,3.782122905027933,358,91
92103,GGG,2014J,114,2.326530612244898,49,24
92274,BBB,2013B,447,2.4696132596685083,181,13
92312,DDD,2013J,39,1.8571428571428572,21,5
92341,BBB,2014B,957,3.5444444444444443,270,28
92391,DDD,2013J,229,2.201923076923077,104,12
92775,DDD,2013B,10981,6.182995495495495,1776,106
92832,BBB,2013B,1067,2.7429305912596402,389,20
92947,BBB,2013B,1350,2.7327935222672064,494,27
92993,BBB,2013B,974,3.9274193548387095,248,34
94484,CCC,2014B,2275,7.6858108108108105,296,254
94616,BBB,2013B,199,1.99,100,9
94749,FFF,2014J,1845,3.933901918976546,469,151
94923,DDD,2013B,444,2.288659793814433,194,18
94961,AAA,2013J,339,3.323529411764706,102,17
94961,AAA,2014J,901,2.8603174603174604,315,19
94964,DDD,2013B,199,2.2873563218390807,87,12
94978,CCC,2014J,1234,4.587360594795539,269,91
95356,DDD,2013B,205,1.9711538461538463,104,9
95356,DDD,2014B,76,1.6170212765957446,47,7
95746,FFF,2013J,936,5.7073170731707314,164,118
95755,AAA,2014J,381,3.0,127,21
95906,CCC,2014B,1721,3.8587443946188342,446,55
96117,GGG,2013J,539,3.9057971014492754,138,32
96291,BBB,2013B,103,2.2888888888888888,45,11
96423,GGG,2014B,589,3.6134969325153374,163,30
96475,BBB,2013J,207,2.225806451612903,93,11
96538,CCC,2014B,182,2.716417910447761,67,27
96592,DDD,2013B,776,2.832116788321168,274,40
96729,FFF,2013B,2707,4.6592082616179,581,220
96864,CCC,2014J,96,1.6271186440677967,59,7
